No	x	y	z	Rx	Ry	Rz
1 -8.3 -2.97953e-08 -7.65 90 -90 0
2 -8.28185 -0.548552 -7.65 90 -86.2105 0
3 -8.22749 -1.09471 -7.65 90 -82.4211 0
4 -8.13715 -1.63607 -7.65 90 -78.6316 0
5 -8.01123 -2.17028 -7.65 90 -74.8421 0
6 -7.85028 -2.69501 -7.65 90 -71.0526 0
7 -7.655 -3.20794 -7.65 90 -67.2632 0
8 -7.42625 -3.70685 -7.65 90 -63.4737 0
9 -7.16503 -4.18955 -7.65 90 -59.6842 0
10 -6.87247 -4.65393 -7.65 90 -55.8947 0
11 -6.54987 -5.09797 -7.65 90 -52.1053 0
12 -6.19862 -5.5197 -7.65 90 -48.3158 0
13 -5.82027 -5.91731 -7.65 90 -44.5263 0
14 -5.41646 -6.28903 -7.65 90 -40.7368 0
15 -4.98897 -6.63326 -7.65 90 -36.9474 0
16 -4.53967 -6.94848 -7.65 90 -33.1579 0
17 -4.07052 -7.23332 -7.65 90 -29.3684 0
18 -3.58356 -7.48653 -7.65 90 -25.5789 0
19 -3.08094 -7.707 -7.65 90 -21.7895 0
20 -2.56484 -7.89377 -7.65 90 -18 0
21 -2.03753 -8.04602 -7.65 90 -14.2105 0
22 -1.50131 -8.16309 -7.65 90 -10.4211 0
23 -0.958522 -8.24447 -7.65 90 -6.63158 0
24 -0.411545 -8.28979 -7.65 90 -2.84211 0
25 0.137232 -8.29887 -7.65 90 0.947368 0
26 0.685409 -8.27165 -7.65 90 4.73684 0
27 1.23059 -8.20827 -7.65 90 8.52632 0
28 1.77039 -8.10899 -7.65 90 12.3158 0
29 2.30244 -7.97426 -7.65 90 16.1053 0
30 2.82443 -7.80465 -7.65 90 19.8947 0
31 3.33407 -7.60092 -7.65 90 23.6842 0
32 3.82913 -7.36395 -7.65 90 27.4737 0
33 4.30745 -7.09478 -7.65 90 31.2632 0
34 4.76693 -6.79459 -7.65 90 35.0526 0
35 5.20556 -6.46468 -7.65 90 38.8421 0
36 5.62144 -6.10651 -7.65 90 42.6316 0
37 6.01273 -5.72163 -7.65 90 46.4211 0
38 6.37773 -5.31174 -7.65 90 50.2105 0
39 6.71484 -4.87862 -7.65 90 54 0
40 7.02259 -4.42416 -7.65 90 57.7895 0
41 7.29963 -3.95036 -7.65 90 61.5789 0
42 7.54475 -3.45929 -7.65 90 65.3684 0
43 7.75689 -2.95309 -7.65 90 69.1579 0
44 7.9351 -2.43398 -7.65 90 72.9474 0
45 8.07861 -1.90422 -7.65 90 76.7368 0
46 8.1868 -1.36614 -7.65 90 80.5263 0
47 8.25919 -0.822078 -7.65 90 84.3158 0
48 8.29546 -0.274426 -7.65 90 88.1053 0
49 8.29546 0.274426 -7.65 90 91.8947 0
50 8.25919 0.822078 -7.65 90 95.6842 0
51 8.1868 1.36614 -7.65 90 99.4737 0
52 8.07861 1.90422 -7.65 90 103.263 0
53 7.9351 2.43398 -7.65 90 107.053 0
54 7.75689 2.95309 -7.65 90 110.842 0
55 7.54475 3.45929 -7.65 90 114.632 0
56 7.29963 3.95036 -7.65 90 118.421 0
57 7.02259 4.42416 -7.65 90 122.211 0
58 6.71484 4.87862 -7.65 90 126 0
59 6.37773 5.31174 -7.65 90 129.789 0
60 6.01273 5.72163 -7.65 90 133.579 0
61 5.62144 6.10651 -7.65 90 137.368 0
62 5.20556 6.46468 -7.65 90 141.158 0
63 4.76693 6.79459 -7.65 90 144.947 0
64 4.30745 7.09478 -7.65 90 148.737 0
65 3.82913 7.36395 -7.65 90 152.526 0
66 3.33407 7.60092 -7.65 90 156.316 0
67 2.82443 7.80465 -7.65 90 160.105 0
68 2.30244 7.97426 -7.65 90 163.895 0
69 1.77039 8.10899 -7.65 90 167.684 0
70 1.23059 8.20827 -7.65 90 171.474 0
71 0.685409 8.27165 -7.65 90 175.263 0
72 0.137232 8.29887 -7.65 90 179.053 0
73 -0.411545 8.28979 -7.65 90 182.842 0
74 -0.958522 8.24447 -7.65 90 186.632 0
75 -1.50131 8.16309 -7.65 90 190.421 0
76 -2.03753 8.04602 -7.65 90 194.211 0
77 -2.56484 7.89377 -7.65 90 198 0
78 -3.08094 7.707 -7.65 90 201.789 0
79 -3.58356 7.48653 -7.65 90 205.579 0
80 -4.07052 7.23332 -7.65 90 209.368 0
81 -4.53967 6.94848 -7.65 90 213.158 0
82 -4.98897 6.63326 -7.65 90 216.947 0
83 -5.41646 6.28903 -7.65 90 220.737 0
84 -5.82027 5.91731 -7.65 90 224.526 0
85 -6.19862 5.5197 -7.65 90 228.316 0
