Wavelength[nm]	QE
291.391		0.0100584
291.45		0.013022
291.515		0.0172256
291.579		0.0227861
291.643		0.0301416
295.976		0.047368
296.09		0.0777034
306.783		0.130281
325.92		0.204833
349.232		0.254196
370.395		0.271324
393.668		0.283459
419.031		0.265945
442.27		0.238986
459.158		0.210147
482.387		0.18089
501.376		0.149127
518.26		0.128339
533.019		0.10579
547.773		0.0853461
558.303		0.0703416
575.172		0.0567518
587.807		0.0448068
596.212		0.0353714
606.736		0.0285322
613.021		0.022043
617.197		0.0173989
623.492		0.0140329
627.667		0.0110764
633.952		0.00855725
638.122		0.00661059
642.298		0.00521786
648.588		0.00411882
652.763		0.00325106
659.043		0.00245818
663.214		0.00189898
667.389		0.0014989
671.559		0.00115792
677.849		0.000914024
684.14		0.000721503
686.2		0.000569458
692.485		0.000439943
696.656		0.000339862
702.941		0.000262565
705.001		0.000207234
709.176		0.000163573
